screen_time,phone_pickups,social_media_time,addiction_level
10.0,299,3.8,Medium
10.5,294,4.0,Medium
11.5,291,3.7,Medium
11.6,321,3.6,Medium
10.5,285,3.6,Medium
10.2,241,3.1,Medium
10.9,108,2.8,Medium
10.3,97,2.9,Medium
9.9,92,3.2,Medium
10.7,108,2.4,Medium
10.3,109,2.5,Medium
11.3,101,2.7,Medium
4.8,18,3.8,Medium
4.5,21,3.8,Medium
4.3,19,3.3,Medium
4.9,14,3.3,Medium
4.9,19,3.9,Medium
4.7,17,3.2,Medium
2.7,292,0.9,Low
2.5,278,1.0,Low
2.8,240,0.9,Low
2.6,272,1.0,Low
3.0,319,0.8,Low
2.6,301,1.0,Low
3.9,183,2.1,Low
3.7,179,1.9,Low
3.4,197,2.4,Low
3.9,201,2.2,Low
3.6,189,2.4,Low
3.9,211,1.5,Low
6.0,129,0.2,Low
6.5,130,0.2,Low
6.1,103,0.2,Low
6.2,148,0.2,Low
5.5,122,0.2,Low
6.2,122,0.2,Low
10.1,27,1.8,High
10.2,29,1.7,High
9.8,25,1.5,High
10.4,27,1.8,High
9.9,23,1.7,High
9.8,24,1.8,High
10.5,67,2.2,High
10.9,79,2.2,High
10.8,66,1.8,High
10.5,67,2.7,High
10.3,69,2.2,High
9.3,74,2.4,High
1.6,147,0.8,Low
1.7,133,0.9,Low
1.4,155,1.0,Low
1.4,138,0.8,Low
1.5,124,0.8,Low
1.4,153,0.7,Low
6.9,157,0.6,High
8.0,144,0.6,High
7.5,137,0.6,High
7.8,131,0.6,High
7.1,169,0.5,High
6.0,165,0.6,High
5.9,149,1.7,Low
6.0,154,1.6,Low
6.0,153,1.6,Low
7.0,156,1.5,Low
6.3,134,1.8,Low
6.6,136,1.9,Low
3.8,229,0.9,Low
4.0,247,1.1,Low
3.7,211,0.8,Low
3.5,227,0.9,Low
3.9,247,0.9,Low
4.4,222,1.1,Low
2.8,108,3.2,Medium
3.0,98,2.9,Medium
2.9,105,3.4,Medium
2.9,107,2.9,Medium
2.4,103,3.5,Medium
2.9,94,3.3,Medium
5.0,108,1.7,Low
5.2,98,1.7,Low
5.0,95,1.8,Low
5.3,119,1.9,Low
4.3,97,1.8,Low
5.3,113,2.4,Low
11.4,43,1.8,High
12.1,47,2.0,High
12.1,41,1.9,High
10.5,41,1.7,High
11.5,52,1.5,High
12.2,36,1.7,High
4.9,202,3.3,Medium
5.4,203,2.9,Medium
4.5,215,3.1,Medium
5.0,202,3.1,Medium
6.0,214,2.6,Medium
5.0,188,3.6,Medium
7.0,138,3.9,Medium
6.4,136,4.1,Medium
7.6,121,3.8,Medium
6.7,128,4.6,Medium
7.3,120,4.3,Medium
8.5,152,3.3,Medium
8.9,71,2.1,High
8.5,79,2.0,High
9.3,76,1.9,High
8.8,47,1.9,High
8.7,62,2.4,High
7.6,67,2.1,High
5.3,183,3.3,Medium
6.1,156,3.7,Medium
5.3,165,3.5,Medium
5.4,172,3.3,Medium
5.1,185,3.5,Medium
6.1,160,4.0,Medium
11.7,46,3.7,Medium
9.4,45,3.9,Medium
12.0,43,3.6,Medium
11.1,43,4.0,Medium
12.1,42,4.0,Medium
12.1,49,3.9,Medium
11.6,19,2.8,High
10.6,17,3.0,High
12.3,18,2.8,High
13.1,17,3.0,High
11.4,18,3.1,High
12.6,20,3.2,High
4.1,115,3.7,Medium
4.1,122,3.6,Medium
4.2,113,3.7,Medium
4.3,105,4.5,Medium
3.7,101,4.1,Medium
4.4,122,3.9,Medium
6.7,161,2.8,Medium
6.7,146,2.8,Medium
6.2,176,2.8,Medium
6.1,155,2.9,Medium
6.3,147,2.9,Medium
6.9,152,2.7,Medium
4.7,293,1.3,Low
4.8,250,1.1,Low
4.4,286,1.3,Low
5.4,318,1.3,Low
4.7,263,1.3,Low
4.6,302,1.2,Low
4.5,235,2.3,Low
4.7,271,2.3,Low
4.7,251,2.2,Low
4.6,235,2.3,Low
4.2,235,2.4,Low
5.2,257,2.8,Low
1.9,161,0.4,Low
1.8,175,0.4,Low
2.3,147,0.4,Low
1.8,126,0.4,Low
1.8,163,0.4,Low
2.3,176,0.4,Low
7.9,42,0.6,High
7.2,44,0.5,High
9.3,46,0.6,High
6.5,47,0.6,High
8.9,35,0.6,High
7.9,42,0.6,High
6.8,101,3.9,Medium
7.2,90,3.8,Medium
6.9,106,4.2,Medium
6.0,85,4.4,Medium
7.0,93,4.5,Medium
6.9,112,3.9,Medium
2.0,293,1.0,Low
2.4,344,1.0,Low
2.2,311,1.1,Low
1.8,313,1.1,Low
1.6,258,0.8,Low
1.9,314,1.2,Low
4.4,258,1.1,Low
4.4,300,0.9,Low
3.7,256,1.1,Low
4.4,204,1.1,Low
3.8,275,1.1,Low
4.0,244,1.0,Low
11.0,200,1.3,High
10.9,219,1.2,High
11.6,189,1.2,High
10.9,179,1.2,High
9.7,239,1.3,High
10.2,204,1.3,High
4.0,90,1.9,Low
3.9,95,2.0,Low
3.8,84,1.8,Low
3.1,76,2.2,Low
4.7,87,2.0,Low
4.1,117,2.1,Low
3.0,14,3.0,Medium
3.0,12,2.5,Medium
3.1,12,2.6,Medium
2.8,12,3.5,Medium
3.3,13,3.4,Medium
3.0,12,3.5,Medium
6.6,9,0.6,High
7.0,8,0.6,High
6.0,7,0.7,High
7.9,7,0.6,High
6.2,8,0.6,High
6.0,9,0.6,High
11.8,127,2.0,High
12.1,126,2.0,High
10.7,119,2.2,High
12.4,114,2.0,High
12.7,105,2.1,High
11.0,134,1.8,High
4.0,122,0.7,Low
3.3,102,0.7,Low
4.1,110,0.7,Low
3.3,121,0.6,Low
3.7,122,0.6,Low
3.8,134,0.7,Low
8.6,298,3.1,Medium
9.3,264,3.3,Medium
9.8,224,2.9,Medium
9.1,291,3.2,Medium
8.1,300,3.1,Medium
9.6,305,3.2,Medium
9.5,163,1.6,High
9.1,155,1.5,High
9.9,156,1.6,High
11.5,177,1.5,High
10.6,156,1.3,High
8.5,132,1.5,High
4.0,232,2.7,Low
4.0,270,2.8,Low
3.9,251,2.1,Low
4.1,249,2.3,Low
4.5,239,2.6,Low
4.3,284,2.7,Low
9.2,220,3.4,Medium
9.4,209,3.1,Medium
10.0,201,3.4,Medium
8.8,230,3.5,Medium
10.2,208,3.3,Medium
8.3,210,3.5,Medium
5.4,188,2.3,Low
5.8,170,2.5,Low
6.1,195,2.7,Low
5.0,164,1.9,Low
6.2,200,2.3,Low
5.6,166,2.9,Low
8.1,19,2.7,Medium
8.2,19,2.9,Medium
8.5,19,2.5,Medium
8.5,22,3.1,Medium
9.4,18,2.4,Medium
8.0,19,3.0,Medium
8.2,161,2.3,Medium
6.8,185,2.3,Medium
7.8,144,1.9,Medium
8.9,162,2.0,Medium
7.1,155,2.7,Medium
8.0,136,2.2,Medium
7.1,140,3.8,Medium
6.9,102,3.8,Medium
6.9,149,4.5,Medium
7.9,136,3.4,Medium
8.9,140,3.8,Medium
7.1,142,3.7,Medium
2.4,265,0.4,Low
2.3,250,0.4,Low
2.3,246,0.4,Low
2.3,304,0.3,Low
2.7,298,0.3,Low
2.3,255,0.3,Low
10.3,161,1.9,High
9.5,143,2.2,High
11.3,181,2.0,High
9.1,152,2.0,High
9.0,172,1.9,High
9.9,172,2.0,High
4.9,51,2.8,Medium
4.7,56,2.5,Medium
5.2,54,2.7,Medium
5.1,44,3.1,Medium
4.8,48,3.1,Medium
4.6,43,2.4,Medium
3.5,177,2.4,Low
3.7,154,2.8,Low
2.8,207,2.5,Low
3.5,167,2.5,Low
3.5,196,2.4,Low
3.6,170,2.4,Low
1.9,134,0.9,Low
2.0,111,0.8,Low
2.0,136,0.9,Low
1.9,138,0.9,Low
